fecha_hora,T_interior,T_exterior,delta_T,shortwave_radiation
2026-04-09 13:00:00,39.2900,20.8200,18.4700,654.0000
2026-04-09 14:00:00,37.1300,20.8500,16.2800,548.0000
2026-04-09 15:00:00,30.2100,20.9000,9.3100,606.0000
2026-04-09 16:00:00,26.2500,20.5500,5.7000,512.0000
2026-04-09 17:00:00,25.1400,20.5800,4.5600,354.0000
2026-04-09 18:00:00,22.5300,20.1300,2.4000,190.0000
2026-04-09 19:00:00,20.9700,18.7300,2.2400,55.0000
2026-04-10 07:00:00,7.7300,9.4300,-1.7000,0.0000
2026-04-10 08:00:00,8.8400,12.4200,-3.5800,2.0000
2026-04-10 09:00:00,14.1400,15.3800,-1.2400,111.0000
2026-04-10 10:00:00,21.7800,18.4800,3.3000,314.0000
2026-04-10 11:00:00,28.7600,20.3800,8.3800,506.0000
2026-04-10 12:00:00,32.5000,21.1500,11.3500,655.0000
2026-04-10 13:00:00,36.4000,21.6700,14.7300,748.0000
2026-04-10 14:00:00,39.9200,22.0200,17.9000,760.0000
2026-04-10 15:00:00,37.1600,22.7700,14.3900,713.0000
2026-04-10 16:00:00,29.3100,22.6200,6.6900,574.0000
2026-04-10 17:00:00,29.2700,23.5000,5.7700,425.0000
2026-04-10 18:00:00,28.0400,22.3300,5.7100,250.0000
2026-04-10 19:00:00,20.3200,18.2200,2.1000,76.0000
2026-04-10 20:00:00,17.0900,16.5700,0.5200,0.0000
2026-04-10 21:00:00,15.3900,14.6000,0.7900,0.0000
2026-04-10 22:00:00,14.2900,12.7700,1.5200,0.0000
2026-04-10 23:00:00,13.5400,13.2500,0.2900,0.0000
2026-04-11 00:00:00,13.0900,13.3300,-0.2400,0.0000
2026-04-11 01:00:00,12.5400,13.3800,-0.8400,0.0000
2026-04-11 02:00:00,12.7800,13.8500,-1.0700,0.0000
2026-04-11 03:00:00,13.7700,15.0300,-1.2600,0.0000
2026-04-11 04:00:00,14.2400,15.1000,-0.8600,0.0000
2026-04-11 05:00:00,14.5500,15.0000,-0.4500,0.0000
2026-04-11 06:00:00,14.2600,14.4700,-0.2100,0.0000
2026-04-11 07:00:00,14.1200,14.2800,-0.1600,0.0000
2026-04-11 08:00:00,14.6400,16.0800,-1.4400,2.0000
2026-04-11 09:00:00,15.7900,16.4500,-0.6600,95.0000
2026-04-11 10:00:00,17.7300,16.9700,0.7600,232.0000
2026-04-11 11:00:00,22.4400,18.5800,3.8600,375.0000
2026-04-11 12:00:00,22.7200,18.4800,4.2400,390.0000
2026-04-11 13:00:00,31.2200,20.5500,10.6700,471.0000
2026-04-11 14:00:00,30.4500,20.2200,10.2300,654.0000
2026-04-11 15:00:00,37.1000,21.4200,15.6800,501.0000
2026-04-11 16:00:00,30.9900,20.4000,10.5900,489.0000
2026-04-11 17:00:00,27.5600,20.5700,6.9900,374.0000
2026-04-11 18:00:00,24.4200,19.2800,5.1400,237.0000
2026-04-11 19:00:00,18.7400,16.3000,2.4400,72.0000
2026-04-11 20:00:00,16.2800,14.0200,2.2600,0.0000
2026-04-11 21:00:00,14.3700,13.5800,0.7900,0.0000
2026-04-11 22:00:00,13.3700,13.2800,0.0900,0.0000
2026-04-11 23:00:00,12.1600,12.7800,-0.6200,0.0000
2026-04-12 00:00:00,11.3700,12.6500,-1.2800,0.0000
2026-04-12 01:00:00,10.6500,12.3300,-1.6800,0.0000
2026-04-12 02:00:00,10.5600,12.1700,-1.6100,0.0000
2026-04-12 03:00:00,10.3400,11.6800,-1.3400,0.0000
2026-04-12 04:00:00,9.6900,11.2700,-1.5800,0.0000
2026-04-12 05:00:00,9.2700,12.2500,-2.9800,0.0000
2026-04-12 06:00:00,8.8200,10.9500,-2.1300,0.0000
2026-04-12 07:00:00,8.3400,11.0300,-2.6900,0.0000
2026-04-12 08:00:00,9.6600,14.4200,-4.7600,2.0000
2026-04-12 09:00:00,15.3900,19.5000,-4.1100,107.0000
2026-04-12 10:00:00,24.3800,22.8000,1.5800,310.0000
2026-04-12 11:00:00,31.6300,24.3500,7.2800,503.0000
2026-04-12 12:00:00,35.9000,25.5300,10.3700,652.0000
2026-04-12 13:00:00,35.7600,25.7300,10.0300,744.0000
2026-04-12 14:00:00,38.6600,26.5000,12.1600,768.0000
2026-04-12 15:00:00,34.1400,26.1800,7.9600,692.0000
2026-04-12 16:00:00,32.9300,26.4000,6.5300,585.0000
2026-04-12 17:00:00,31.0600,26.4200,4.6400,395.0000
2026-04-12 18:00:00,25.4500,24.0000,1.4500,238.0000
2026-04-12 19:00:00,20.2200,20.5800,-0.3600,71.0000
2026-04-12 20:00:00,18.0500,18.8000,-0.7500,0.0000
2026-04-12 21:00:00,16.7900,17.6200,-0.8300,0.0000
2026-04-12 22:00:00,15.8500,17.8000,-1.9500,0.0000
2026-04-12 23:00:00,14.4300,15.7500,-1.3200,0.0000
2026-04-13 00:00:00,13.4600,16.9700,-3.5100,0.0000
2026-04-13 01:00:00,13.4400,18.3700,-4.9300,0.0000
