nombre_sensor,fecha_hora,valor_medicion
HUM_AMB_2M,2026-06-01 16:00:00+00:00,97.6
HUM_AMB_40CM,2026-06-01 16:00:00+00:00,89.66
HUM_SUELO_01,2026-06-01 16:00:00+00:00,68.8
HUM_SUELO_02,2026-06-01 16:00:00+00:00,46.72
HUM_SUELO_03,2026-06-01 16:00:00+00:00,49.96
HUM_SUELO_04,2026-06-01 16:00:00+00:00,53.0
LUZ,2026-06-01 16:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 16:00:00+00:00,18.96
TEMP_AMB_40CM,2026-06-01 16:00:00+00:00,19.21
TEMP_SUELO_01,2026-06-01 16:00:00+00:00,14.0
TEMP_SUELO_02,2026-06-01 16:00:00+00:00,13.73
HUM_AMB_2M,2026-06-01 15:00:00+00:00,96.07
HUM_AMB_40CM,2026-06-01 15:00:00+00:00,88.27
HUM_SUELO_01,2026-06-01 15:00:00+00:00,68.19
HUM_SUELO_02,2026-06-01 15:00:00+00:00,46.15
HUM_SUELO_03,2026-06-01 15:00:00+00:00,49.35
HUM_SUELO_04,2026-06-01 15:00:00+00:00,52.92
LUZ,2026-06-01 15:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 15:00:00+00:00,19.86
TEMP_AMB_40CM,2026-06-01 15:00:00+00:00,20.08
TEMP_SUELO_01,2026-06-01 15:00:00+00:00,13.7
TEMP_SUELO_02,2026-06-01 15:00:00+00:00,13.4
HUM_AMB_2M,2026-06-01 14:00:00+00:00,97.31
HUM_AMB_40CM,2026-06-01 14:00:00+00:00,88.59
HUM_SUELO_01,2026-06-01 14:00:00+00:00,68.0
HUM_SUELO_02,2026-06-01 14:00:00+00:00,46.0
HUM_SUELO_03,2026-06-01 14:00:00+00:00,49.0
HUM_SUELO_04,2026-06-01 14:00:00+00:00,52.36
LUZ,2026-06-01 14:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 14:00:00+00:00,19.02
TEMP_AMB_40CM,2026-06-01 14:00:00+00:00,19.22
TEMP_SUELO_01,2026-06-01 14:00:00+00:00,13.38
TEMP_SUELO_02,2026-06-01 14:00:00+00:00,13.05
HUM_AMB_2M,2026-06-01 13:00:00+00:00,96.49
HUM_AMB_40CM,2026-06-01 13:00:00+00:00,88.56
HUM_SUELO_01,2026-06-01 13:00:00+00:00,67.96
HUM_SUELO_02,2026-06-01 13:00:00+00:00,46.0
HUM_SUELO_03,2026-06-01 13:00:00+00:00,49.0
HUM_SUELO_04,2026-06-01 13:00:00+00:00,52.2
LUZ,2026-06-01 13:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 13:00:00+00:00,19.76
TEMP_AMB_40CM,2026-06-01 13:00:00+00:00,19.85
TEMP_SUELO_01,2026-06-01 13:00:00+00:00,13.07
TEMP_SUELO_02,2026-06-01 13:00:00+00:00,12.63
HUM_AMB_2M,2026-06-01 12:00:00+00:00,98.37
HUM_AMB_40CM,2026-06-01 12:00:00+00:00,91.07
HUM_SUELO_01,2026-06-01 12:00:00+00:00,67.04
HUM_SUELO_02,2026-06-01 12:00:00+00:00,45.72
HUM_SUELO_03,2026-06-01 12:00:00+00:00,48.6
HUM_SUELO_04,2026-06-01 12:00:00+00:00,51.8
LUZ,2026-06-01 12:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 12:00:00+00:00,19.25
TEMP_AMB_40CM,2026-06-01 12:00:00+00:00,19.33
TEMP_SUELO_01,2026-06-01 12:00:00+00:00,12.77
TEMP_SUELO_02,2026-06-01 12:00:00+00:00,12.1
